번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
1,과자류,100% 유기농 허니팝 키즈퐁,30,33.3,7.4,0.63,0,4.2,0,0,0,0,2013
2,과자류,100% 유기농 허니팝 키즈퐁,30,33.3,7.4,0.63,0,4.2,0,0,0,0,2017
3,과자류,10종 멀티팩,30,35.4,5.07,0.72,1.38,0.51,49.5,3.9,0.69,0,2013
4,과자류,10종 멀티팩,30,42.48,6.08,0.86,1.66,0.61,59.4,4.68,0.83,0,2017
5,과자류,1500미니약과,30,106.29,18,0.77,3.77,6.86,64.29,0,0,0,2012
6,과자류,1500미니약과,30,91.1,15.43,0.66,3.23,2.06,55.1,0,0,0,2017
7,과자류,"150누네띠네, 2000누네띠네, 3600누네띠네",30,150,17.5,2.5,7.5,5,125,0,5,0,2012
8,과자류,"150누네띠네, 2000누네띠네, 3600누네띠네",30,375,43.75,6.25,18.75,1.5,312.5,0,12.5,0,2017
9,과자류,15곡 브라운 라이스 롤,30,41.55,3.72,0.48,2.76,0.42,23.4,4.8,1.2,0,2013
10,과자류,15곡 브라운 라이스 롤,30,51.94,4.65,0.6,3.45,0.52,29.25,6,1.5,0,2017
11,과자류,15곡 브라운 라이스 롤 블랙 슬림,30,39.9,3.36,0.33,2.01,1.2,4.68,4.02,1.14,0,2013
12,과자류,15곡 브라운 라이스 롤 블랙 슬림,30,59.85,5.04,0.5,3.02,1.8,7.02,6.03,1.71,0,2017
13,과자류,2200미니약과,30,106.36,18.18,0.82,3.73,7.27,63.64,0,0,0,2012
14,과자류,2200미니약과,30,96.69,16.53,0.74,3.39,2.18,57.85,0,0,0,2017
15,과자류,24개 미니 마카롱,30,60,8.1,1.8,2.7,6.9,7.5,0,0.6,0.15,2013
16,과자류,24개 미니 마카롱,30,36,4.86,1.08,1.62,4.14,4.5,0,0.36,0.09,2017
17,과자류,30 홀리데이 캔디 케인스,10,36.5,1.3,0,0,0.9,0,0,0,0.05,2013
18,과자류,30 홀리데이 캔디 케인스,10,28.08,1,0,0,0.75,0,0,0,0.04,2017
19,과자류,3초만 참으셔(크라운제과),100,390.33,97.43,0.04,0.05,56.3,311.08,0,0,0,2015
20,과자류,3초만 참으셔(크라운제과),10,3.9,0.97,0,0,0.56,3.11,0,0,0,2017
21,과자류,5곡+2견과레몬센드,30,34.5,4.8,0.6,1.5,1.5,18,0,0.99,0,2013
22,과자류,5곡+2견과레몬센드,30,35.4,4.8,0.6,1.5,1.5,18,0,0.99,0,2013
23,과자류,5곡+2견과레몬센드,30,44.25,6,0.75,1.88,1.87,22.5,0,1.24,0,2017
24,과자류,5곡+2견과레몬센드,30,43.12,6,0.75,1.88,1.87,22.5,0,1.24,0,2017
25,과자류,6년근 홍삼캔디,10,39.72,9.92,0.01,0,3.2,0.77,0,0,0,2012
26,과자류,6년근 홍삼캔디,10,79.44,19.84,0.02,0,0.32,1.54,0,0,0,2017
27,과자류,700미니약과,30,106.29,18,0.77,3.77,6.86,64.29,0,0,0,2012
28,과자류,700미니약과,30,91.1,15.43,0.66,3.23,2.06,55.1,0,0,0,2017
29,과자류,72 마카롱 라즈베리,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2013
30,과자류,72 마카롱 라즈베리,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2017
31,과자류,72 마카롱 레몬,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2013
32,과자류,72 마카롱 레몬,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2017
33,과자류,72 마카롱 바닐라향,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2013
34,과자류,72 마카롱 바닐라향,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2017
35,과자류,72 마카롱 초코,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2013
36,과자류,72 마카롱 초코,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2017
37,과자류,72 마카롱 커피,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2013
38,과자류,72 마카롱 커피,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2017
39,과자류,8 벨지안 트리플 초콜렛 청크 올버터 쿠키,30,38.1,4.53,0.45,1.98,2.79,27,0,1.17,0,2013
40,과자류,8 벨지안 트리플 초콜렛 청크 올버터 쿠키,30,45.72,5.44,0.54,2.38,3.35,32.4,0,1.4,0,2017
41,과자류,8 벨지안 화이트초콜렛 청크 올 버터쿠키,30,39,4.59,0.45,2.07,2.61,33,0,1.29,0,2013
42,과자류,8 벨지안 화이트초콜렛 청크 올 버터쿠키,30,46.8,5.51,0.54,2.48,3.13,39.6,0,1.55,0,2017
43,과자류,8 체리앤아몬드 올버터 쿠키,30,34.8,4.53,0.51,1.59,1.92,24,0,0.84,0,2013
44,과자류,8 체리앤아몬드 올버터 쿠키,30,41.76,5.44,0.61,1.91,2.3,28.8,0,1.01,0,2017
45,과자류,8 프랩잭 올 버터쿠키,30,33.6,4.53,0.42,1.47,2.61,21,0,0.96,0,2013
46,과자류,8 프랩잭 올 버터쿠키,30,40.32,5.44,0.5,1.76,3.13,25.2,0,1.15,0,2017
47,과자류,C콘칩(크라운제과),30,157.9,19.23,1.49,8.33,0.83,122.63,0,2.54,0.07,2012
48,과자류,C콘칩(크라운제과),30,157.9,19.23,1.49,8.33,0.25,122.63,0,2.54,0.07,2017
49,과자류,C콘칩매콤소스(크라운제과),30,164.47,18.03,1.51,9.59,0.89,149.04,0.14,2.89,0.08,2012
50,과자류,C콘칩매콤소스(크라운제과),30,164.47,18.03,1.51,9.59,0.27,149.04,0.14,2.89,0.08,2017
51,과자류,C콘칲(크라운제과),30,157.9,19.23,1.49,8.33,0.83,122.63,0,2.54,0.07,2015
52,과자류,C콘칲(크라운제과),30,47.37,5.77,0.45,2.5,0.25,36.79,0,0.76,0.02,2017
53,과자류,C콘칲골드(크라운제과),30,156.91,19.79,1.73,7.87,0.25,74.77,0.22,2.83,0.04,2015
54,과자류,C콘칲골드(크라운제과),30,47.07,5.94,0.52,2.36,0.08,22.43,0.07,0.85,0.01,2017
55,과자류,FP 산딸기모양 구미젤리,10,13,2.9,0.2,0,2,3,0,0,0,2013
56,과자류,FP 산딸기모양 구미젤리,10,4.33,0.97,0.07,0,0.6,1,0,0,0,2017
57,과자류,FP 상어모양 구미젤리,10,17,4,0.3,0,2.5,3,0,0,0,2013
58,과자류,FP 상어모양 구미젤리,10,3.21,0.75,0.06,0,0.6,0.57,0,0,0,2017
59,과자류,가루다 계란맛 코팅 땅콩,10,16,1.7,0.3,0.8,0.2,11,0.3,0.27,0,2013
60,과자류,가루다 계란맛 코팅 땅콩,10,5.33,0.57,0.1,0.27,0.07,3.67,0.1,0.09,0,2017
61,과자류,가루다 마늘맛 코팅 땅콩,10,16,1.5,0.39,0.93,0.1,19.7,0,0.27,0,2013
62,과자류,가루다 마늘맛 코팅 땅콩,10,5.33,0.5,0.13,0.31,0.03,6.57,0,0.09,0,2017
63,과자류,가스트로 화인게백 쿠키,30,42.9,4.32,0.54,2.61,2.34,0.9,3,1.29,0,2013
64,과자류,가스트로 화인게백 쿠키,30,42.9,4.32,0.54,2.61,2.34,0.9,3,1.29,0,2017
65,과자류,가토세크바리에,100,576,54.5,6.4,36.9,34.2,122,84,21.4,0.76,2013
66,과자류,가토세크바리에,30,51.84,4.91,0.58,3.32,3.08,10.98,7.56,1.93,0.07,2017
67,과자류,갈레뜨,30,42.6,6,0.6,1.8,2.7,7.8,2.4,0.9,0,2013
68,과자류,갈레뜨,30,44.07,6.21,0.62,1.86,2.81,8.07,2.48,0.93,0,2017
69,과자류,갈레뜨 브르통,30,55.5,6.9,0.9,2.7,2.4,63.9,7.5,1.8,0.3,2013
70,과자류,갈레뜨 브르통,30,41.62,5.18,0.68,2.03,1.8,47.92,5.62,1.35,0.22,2017
71,과자류,갈레뜨 에뻬세,30,64.2,7.2,0.72,3.6,2.52,0.05,0.17,2.04,0.08,2013
72,과자류,갈레뜨 에뻬세,30,48.15,5.4,0.54,2.7,1.89,0.04,0.13,1.53,0.06,2017
73,과자류,갈레테 화인,30,42.6,5.87,0.66,1.86,2.8,14.69,3.11,0.93,0.02,2013
74,과자류,갈레테 화인,30,44.07,6.08,0.68,1.92,2.92,15.19,3.22,0.97,0.02,2017
75,과자류,갈릭 브래드 스틱,30,32.7,5.01,0.75,1.05,0.21,0.06,0,0.45,0,2013
76,과자류,갈릭 브래드 스틱,30,39.24,6.01,0.9,1.26,0.25,0.07,0,0.54,0,2017
77,과자류,갈릭브레드칩,30,66,7.85,0.92,3.69,2.31,69.23,4.62,1.62,0,2012
78,과자류,갈릭브레드칩,30,49.5,5.88,0.69,2.77,0.69,51.92,3.46,1.21,0,2017
79,과자류,갈린코 칩스딜라이트 커피 카라멜칩 쿠키,30,63.3,7.5,0.9,3.3,4.8,33.9,0,2.1,0,2013
80,과자류,갈린코 칩스딜라이트 커피 카라멜칩 쿠키,30,47.47,5.62,0.68,2.47,3.6,25.42,0,1.58,0,2017
81,과자류,감미칩(농심),30,170,17,1,11,7,50,0,3.2,0,2015
82,과자류,감미칩(농심),30,51,5.1,0.3,3.3,2.1,15,0,0.96,0,2017
83,과자류,감씨형쌀과자,30,31.5,6.9,0.76,0.08,0.21,34.5,0,0,0,2013
84,과자류,감씨형쌀과자,30,31.5,6.9,0.76,0.08,0.21,34.5,0,0,0,2017
85,과자류,감자고래밥(오리온),30,130.11,22.8,1.92,3.75,2.37,248.08,0.34,1.98,0.05,2012
86,과자류,감자고래밥(오리온),30,92.94,16.29,1.37,2.68,0.71,177.2,0.24,1.41,0.04,2017
87,과자류,감자깡,30,150,22,2,6,1,150,0,1.8,0,2012
88,과자류,감자깡,30,150,22,2,6,0.26,150,0,1.8,0,2017
89,과자류,감자러스크,30,44.31,6,0.46,2.12,1.38,60,0,1.02,0,2012
90,과자류,감자러스크,30,44.31,6,0.46,2.12,0.42,60,0,1.02,0,2017
91,과자류,감자미,30,81.6,8.25,1.02,4.95,0.24,72.9,0,2.22,0,2013
92,과자류,감자미,30,48.96,4.95,0.61,2.97,0.14,43.74,0,1.33,0,2017
93,과자류,감자미 새콤한맛,30,79.2,7.74,1.02,5.28,0.48,46.65,0,1.8,0,2013
94,과자류,감자미 새콤한맛,30,47.52,4.64,0.61,3.17,0.29,27.99,0,1.08,0,2017
95,과자류,"강정,깨엿강정, 깨강정(오리온프리토레이㈜)",30,139.5,21.9,1.8,4.8,0,43.5,0,0,0,2006
96,과자류,"강정,깨엿강정, 깨강정(오리온프리토레이㈜)",30,41.85,6.57,0.54,1.44,N/A,13.05,N/A,N/A,N/A,2017
97,과자류,"강정,땅콩엿강정, 땅콩강정(오리온프리토레이㈜)",30,130.5,23.1,2.1,3.3,0,60,0,0,0,2006
98,과자류,"강정,땅콩엿강정, 땅콩강정(오리온프리토레이㈜)",30,39.15,6.93,0.63,0.99,2.4,18,N/A,N/A,N/A,2017
99,과자류,개구리 모양 젤리,10,5.2,1.25,0.06,0,0.78,0.54,0,0,0,2013
100,과자류,개구리 모양 젤리,10,3.25,0.78,0.04,0,0.6,0.34,0,0,0,2017
101,과자류,갸또화이트,30,148.2,16.45,1.75,8.39,10.55,22.59,35.25,5.19,0.16,2012
102,과자류,갸또화이트,30,145.5,16.8,1.8,8.1,9.9,27,31.5,5.1,0.15,2015
103,과자류,갸또화이트,30,43.65,5.04,0.54,2.43,3.15,8.1,9.45,1.53,0.05,2017
104,과자류,갸또화이트,30,222.3,24.67,2.63,12.59,3.15,33.88,52.87,7.78,0.24,2017
105,과자류,건강 현미5곡 크리스피롤 녹차맛,30,66,6.7,0.67,3.98,2.4,9,7.5,2.4,0,2013
106,과자류,건강 현미5곡 크리스피롤 녹차맛,30,44,4.46,0.45,2.66,1.6,6,5,1.6,0,2017
107,과자류,건강 현미5곡 크리스피롤 오리지날,30,66,6.7,0.67,3.98,2.4,9,7.5,2.4,0,2013
108,과자류,건강 현미5곡 크리스피롤 오리지날,30,44,4.46,0.45,2.66,1.6,6,5,1.6,0,2017
109,과자류,건빵,30,37.8,7.2,0.9,0.6,0.9,39.3,0.15,0.15,0,2013
110,과자류,건빵,30,37.8,7.2,0.9,0.6,0.9,39.3,0.15,0.15,0,2017
111,과자류,"건빵,건빵, 그대로,새건빵(시온식품㈜)",30,117.6,21.03,3.09,1.89,0,96.6,0,0,0,2006
112,과자류,"건빵,건빵, 그대로,새건빵(시온식품㈜)",30,35.28,6.31,0.93,0.57,N/A,28.98,N/A,N/A,N/A,2017
113,과자류,검은 참깨 모나카,30,29.1,5.7,0.6,0.48,2.7,1.8,0,0,0,2013
114,과자류,검은 참깨 모나카,30,31.18,6.11,0.64,0.51,2.89,1.93,0,0,0,2017
115,과자류,게랑드 솔티드 버터 캬라멜 쿠키,30,35.1,4.2,0.36,1.8,0.21,0,4.5,0.9,0,2013
116,과자류,게랑드 솔티드 버터 캬라멜 쿠키,30,42.12,5.04,0.43,2.16,2.2,0,5.4,1.08,0,2017
117,과자류,게메즈 에낙,30,45,5.62,0.56,1.97,0.56,106.88,0,1.12,0,2017
118,과자류,겐지파이,30,35.4,3.51,0.39,2.19,2.01,34.5,0.45,0.51,0,2013
119,과자류,겐지파이,30,50.57,5.01,0.56,3.13,2.87,49.29,0.64,0.73,0,2017
120,과자류,계란쿠키,30,40.5,5.61,0.54,1.77,1.41,16.8,4.5,0.99,0,2013
121,과자류,계란쿠키,30,43.39,6.01,0.58,1.9,1.51,18,4.82,1.06,0,2017
122,과자류,계란후라이모양젤리,10,5.2,1.25,0.06,0,0.83,0.54,0,0,0,2013
123,과자류,계란후라이모양젤리,10,3.25,0.78,0.04,0,0.6,0.34,0,0,0,2017
124,과자류,계피향 사탕,10,5,1.27,0,0,1.27,0.7,0,0,0,2013
125,과자류,계피향 사탕,10,3.85,0.98,0,0,0.75,0.54,0,0,0,2017
126,과자류,계피향사탕,10,5,1.3,0,0,1.2,0.5,0,0,0,2013
127,과자류,계피향사탕,10,3.85,1,0,0,0.75,0.38,0,0,0,2017
128,과자류,고 내츄럴리 유기농 하드 캔디,10,6,1.5,0,0,1,2,0,0,0,2013
129,과자류,고 내츄럴리 유기농 하드 캔디,10,3.75,0.94,0,0,0.75,1.25,0,0,0,2017
130,과자류,고구마깡(농심),30,143.33,21.33,1.33,6,8,140,0,2,0,2015
131,과자류,고구마깡(농심),30,43,6.4,0.4,1.8,2.25,42,0,0.6,0,2017
132,과자류,고구마칩,30,46.5,6.3,0.3,2.4,0,16.5,0,0,0,2013
133,과자류,고구마칩,30,46.5,6.3,0.3,2.4,0,16.5,0,0,0,2017
134,과자류,고다스 길드 오리지날 와플 미니,30,56.7,7.5,0.6,2.7,6.9,12,0,1.5,0,2013
135,과자류,고다스 길드 오리지날 와플 미니,30,42.53,5.62,0.45,2.03,5.18,9,0,1.12,0,2017
136,과자류,고드름쥬시(롯데제과),100,12.5,3.5,0,0,3,0,0,0,0,2012
137,과자류,고드름쥬시(롯데제과),100,6.25,1.75,0,0,3,0,0,0,0,2017
138,과자류,고래모양 구미젤리,10,10,2.3,0.1,0,1.8,2,0,0,0,2013
139,과자류,고래모양 구미젤리,10,3.33,0.77,0.03,0,0.6,0.67,0,0,0,2017
140,과자류,고래밥볶음(오리온),30,129.79,23.03,2.12,3.46,3.38,211.6,0.4,1.99,0.02,2012
141,과자류,고래밥볶음(오리온),30,102.47,18.18,1.67,2.73,1.01,167.05,0.31,1.57,0.01,2017
142,과자류,고르시아,30,78.3,12.21,1.05,2.85,3.9,21.45,0,1.2,0,2013
143,과자류,고르시아,30,42.71,6.66,0.57,1.55,2.13,11.7,0,0.65,0,2017
144,과자류,고마도라꾸,30,48,7.5,1.2,1.5,1.8,15,0,0.3,0,2013
145,과자류,고마도라꾸,30,41.14,6.43,1.03,1.29,1.54,12.86,0,0.26,0,2017
146,과자류,고마도락꾸,30,48.9,7.53,1.05,1.62,2.1,13.8,0,0.3,0,2013
147,과자류,고마도락꾸,30,41.91,6.45,0.9,1.39,1.8,11.83,0,0.26,0,2017
148,과자류,고소한오곡쿠키,40,113.85,14.15,1.23,5.54,5.54,98.46,3.08,2.58,0,2012
149,과자류,고소한오곡쿠키,30,64.04,7.96,0.69,3.12,1.52,55.38,1.73,1.45,0,2017
150,과자류,고소한유자쿠키,30,80.77,11.08,0.92,3.69,4.62,43.85,2.31,1.85,0,2012
151,과자류,고소한유자쿠키,30,60.58,8.31,0.69,2.77,1.38,32.88,1.73,1.38,0,2017
152,과자류,고코쿠비스킷,30,45,7.2,0.9,1.35,6.6,66.3,0,0.69,0,2013
153,과자류,고코쿠비스킷,30,40.91,6.55,0.82,1.23,6,60.27,0,0.63,0,2017
154,과자류,골드피쉬 체다,30,41.1,6,0.9,1.5,0,75,3,0.3,0,2017
155,과자류,골든 오레오,30,42,6.6,0.3,1.8,3,24,0,0.75,0,2013
156,과자류,골든 오레오,30,43.45,6.83,0.31,1.86,3.06,24.83,0,0.78,0,2017
157,과자류,골든사나 바나나칩,30,45,6.3,0.3,2.1,1.8,0,0,2.1,0,2013
158,과자류,골든사나 바나나칩,30,45,6.3,0.3,2.1,1.8,0,0,2.1,0,2017
159,과자류,골든오레오,30,43.8,6.6,0.3,1.8,3,24,0,1.23,0,2013
160,과자류,골든오레오,30,45.31,6.83,0.31,1.86,3.06,24.83,0,1.27,0,2017
161,과자류,곰돌이 구미 젤리,10,8.2,1.92,0.12,0,1.5,0,0,0,0,2013
162,과자류,곰돌이 구미 젤리,10,3.28,0.77,0.05,0,0.6,0,0,0,0,2017
163,과자류,곰돌이 젤리,10,5,1.2,0.1,0,0.9,0,0,0,0,2013
164,과자류,곰돌이 젤리,10,3.33,0.8,0.07,0,0.6,0,0,0,0,2017
165,과자류,과일맛젤리 믹스,10,11.1,2.7,0,0,2.5,1.6,0,0,0,2013
166,과자류,과일맛젤리 믹스,10,3.7,0.9,0,0,0.6,0.53,0,0,0,2017
167,과자류,과일향 플래셔 캔디,10,6,1.5,0,0,1,2,0,0,0,2013
168,과자류,과일향 플래셔 캔디,10,3.75,0.94,0,0,0.75,1.25,0,0,0,2017
169,과자류,"과자,스넥과자, DHA새우깡(㈜농심)",30,151.2,18.12,1.8,7.35,0,210,0,0,0,2006
170,과자류,"과자,스넥과자, DHA새우깡(㈜농심)",30,45.36,5.44,0.54,2.2,0.3,63,N/A,N/A,N/A,2017
171,과자류,"과자,스넥과자, 고래밥-매콤(동양제과)",30,129,24,2.1,2.7,0,117,0,0,0,2006
172,과자류,"과자,스넥과자, 고래밥-매콤(동양제과)",30,38.7,7.2,0.63,0.81,0.31,35.1,N/A,N/A,N/A,2017
173,과자류,"과자,스넥과자, 고래밥-볶음양념(동양제과)",30,129,23.7,2.4,2.7,0,108,0,0,0,2006
174,과자류,"과자,스넥과자, 고래밥-볶음양념(동양제과)",30,38.7,7.11,0.72,0.81,1.12,32.4,N/A,N/A,N/A,2017
175,과자류,"과자,스넥과자, 고래밥-숯불갈비(동양제과)",30,124.5,23.7,2.4,2.1,0,129,0,0,0,2006
176,과자류,"과자,스넥과자, 고래밥-숯불갈비(동양제과)",30,37.35,7.11,0.72,0.63,1.12,38.7,N/A,N/A,N/A,2017
177,과자류,"과자,스넥과자, 골든벨(롯데제과)",30,164.1,15.96,1.74,9.93,0,22.5,0,0,0,2006
178,과자류,"과자,스넥과자, 골든벨(롯데제과)",30,49.23,4.79,0.52,2.98,N/A,6.75,N/A,N/A,N/A,2017
179,과자류,"과자,스넥과자, 꼬깔콘(고소)(롯데제과)",30,162.3,17.97,1.83,9,0,175.2,0,0,0,2006
180,과자류,"과자,스넥과자, 꼬깔콘(고소)(롯데제과)",30,48.69,5.39,0.55,2.7,0.39,52.56,N/A,N/A,N/A,2017
181,과자류,"과자,스넥과자, 꽃게랑(㈜빙그레)",30,138,14.01,3.21,8.19,0,6.6,0,0,0,2006
182,과자류,"과자,스넥과자, 꽃게랑(㈜빙그레)",30,41.4,4.2,0.96,2.46,0.6,1.98,N/A,N/A,N/A,2017
183,과자류,"과자,스넥과자, 꿀꽈배기(㈜농심)",30,144.9,19.8,1.86,6.12,0,70.8,0,0,0,2006
184,과자류,"과자,스넥과자, 꿀꽈배기(㈜농심)",30,43.47,5.94,0.56,1.84,2,21.24,N/A,N/A,N/A,2017
185,과자류,"과자,스넥과자, 느타리버섯스낵(한성기업㈜)",30,159.9,16.59,2.28,9.39,0,178.8,0,0,0,2006
186,과자류,"과자,스넥과자, 느타리버섯스낵(한성기업㈜)",30,47.97,4.98,0.68,2.82,N/A,53.64,N/A,N/A,N/A,2017
187,과자류,"과자,스넥과자, 드라키스쿵-달콤한맛(오리온프리토레이㈜)",30,154.5,20.1,1.5,7.5,0,135,0,0,0,2006
188,과자류,"과자,스넥과자, 드라키스쿵-달콤한맛(오리온프리토레이㈜)",30,46.35,6.03,0.45,2.25,N/A,40.5,N/A,N/A,N/A,2017
189,과자류,"과자,스넥과자, 땅콩오징어(해태제과㈜)",30,140.7,19.29,3.18,5.64,0,40.5,0,0,0,2006
190,과자류,"과자,스넥과자, 땅콩오징어(해태제과㈜)",30,42.21,5.79,0.95,1.69,N/A,12.15,N/A,N/A,N/A,2017
191,과자류,"과자,스넥과자, 마르쏘(㈜빙그레)",30,123,17.34,1.59,4.86,0,101.4,0,0,0,2006
192,과자류,"과자,스넥과자, 마르쏘(㈜빙그레)",30,36.9,5.2,0.48,1.46,1.2,30.42,N/A,N/A,N/A,2017
193,과자류,"과자,스넥과자, 맛동산(해태제과㈜)",30,139.8,20.37,2.88,5.19,0,47.7,0,0,0,2006
194,과자류,"과자,스넥과자, 맛동산(해태제과㈜)",30,41.94,6.11,0.86,1.56,2.1,14.31,N/A,N/A,N/A,2017
195,과자류,"과자,스넥과자, 미니볼(동양제과)",30,169.5,17.1,1.8,10.2,0,21,0,0,0,2006
196,과자류,"과자,스넥과자, 미니볼(동양제과)",30,50.85,5.13,0.54,3.06,N/A,6.3,N/A,N/A,N/A,2017
197,과자류,"과자,스넥과자, 미스터해머(동양제과)",30,141,21,2.7,5.1,0,63,0,0,0,2006
198,과자류,"과자,스넥과자, 미스터해머(동양제과)",30,42.3,6.3,0.81,1.53,N/A,18.9,N/A,N/A,N/A,2017
199,과자류,"과자,스넥과자, 미쯔블랙(동양제과)",30,142.5,22.5,2.1,5.1,0,69,0,0,0,2006
200,과자류,"과자,스넥과자, 미쯔블랙(동양제과)",30,42.75,6.75,0.63,1.53,3.21,20.7,N/A,N/A,N/A,2017
201,과자류,"과자,스넥과자, 바나나킥(㈜농심)",30,125.4,25.5,1.23,1.95,0,42.6,0,0,0,2006
202,과자류,"과자,스넥과자, 바나나킥(㈜농심)",30,37.62,7.65,0.37,0.58,2.25,12.78,N/A,N/A,N/A,2017
203,과자류,"과자,스넥과자, 벌집핏자(㈜농심)",30,160.2,17.34,1.56,9,0,32.4,0,0,0,2006
204,과자류,"과자,스넥과자, 벌집핏자(㈜농심)",30,48.06,5.2,0.47,2.7,0.49,9.72,N/A,N/A,N/A,2017
205,과자류,"과자,스넥과자, 베베(동양제과)",30,135,22.8,2.1,3.9,0,90,0,0,0,2006
206,과자류,"과자,스넥과자, 베베(동양제과)",30,40.5,6.84,0.63,1.17,3.06,27,N/A,N/A,N/A,2017
207,과자류,"과자,스넥과자, 빠다코코낫(롯데제과)",30,152.1,19.71,1.62,7.41,0,84.9,0,0,0,2006
208,과자류,"과자,스넥과자, 빠다코코낫(롯데제과)",30,45.63,5.91,0.49,2.22,1.8,25.47,N/A,N/A,N/A,2017
209,과자류,"과자,스넥과자, 빼빼로(롯데제과)",30,128.4,18.45,2.31,4.92,0,63.9,0,0,0,2006
210,과자류,"과자,스넥과자, 빼빼로(롯데제과)",30,38.52,5.53,0.69,1.48,2.57,19.17,N/A,N/A,N/A,2017
211,과자류,"과자,스넥과자, 뻥이요(서울식품공업㈜)",30,142.2,24.24,1.38,4.41,0,221.7,0,0,0,2006
212,과자류,"과자,스넥과자, 뻥이요(서울식품공업㈜)",30,42.66,7.27,0.41,1.32,2.4,66.51,N/A,N/A,N/A,2017
213,과자류,"과자,스넥과자, 소프트샐러드스낵(롯데제과)",30,147,18.9,1.2,7.5,0,225,0,0,0,2006
214,과자류,"과자,스넥과자, 소프트샐러드스낵(롯데제과)",30,44.1,5.67,0.36,2.25,N/A,67.5,N/A,N/A,N/A,2017
215,과자류,"과자,스넥과자, 스모키베이컨칩(㈜빙그레)",30,144.3,16.05,1.44,7.83,0,50.7,0,0,0,2006
216,과자류,"과자,스넥과자, 스모키베이컨칩(㈜빙그레)",30,43.29,4.81,0.43,2.35,0.3,15.21,N/A,N/A,N/A,2017
217,과자류,"과자,스넥과자, 스위티(㈜농심)",30,156.9,18.24,1.47,8.25,0,201.6,0,0,0,2006
218,과자류,"과자,스넥과자, 스위티(㈜농심)",30,47.07,5.47,0.44,2.47,1.09,60.48,N/A,N/A,N/A,2017
219,과자류,"과자,스넥과자, 스윙칩-볶음고추장맛(오리온프리토레이㈜)",30,168,16.8,1.5,10.2,0,102,0,0,0,2006
220,과자류,"과자,스넥과자, 스윙칩-볶음고추장맛(오리온프리토레이㈜)",30,50.4,5.04,0.45,3.06,0.3,30.6,N/A,N/A,N/A,2017
221,과자류,"과자,스넥과자, 썬칩-바비큐(오리온프리토레이㈜)",30,150,21.6,1.5,6.6,0,99,0,0,0,2006
222,과자류,"과자,스넥과자, 썬칩-바비큐(오리온프리토레이㈜)",30,45,6.48,0.45,1.98,0.75,29.7,N/A,N/A,N/A,2017
223,과자류,"과자,스넥과자, 썬칩-와일드랜치맛(오리온프리토레이㈜)",30,150,20.1,2.4,6.6,0,87,0,0,0,2006
224,과자류,"과자,스넥과자, 썬칩-와일드랜치맛(오리온프리토레이㈜)",30,45,6.03,0.72,1.98,0.9,26.1,N/A,N/A,N/A,2017
225,과자류,"과자,스넥과자, 썬칩-핫윙(오리온프리토레이㈜)",30,150,20.1,2.4,6.6,0,87,0,0,0,2006
226,과자류,"과자,스넥과자, 썬칩-핫윙(오리온프리토레이㈜)",30,45,6.03,0.72,1.98,0.9,26.1,N/A,N/A,N/A,2017
227,과자류,"과자,스넥과자, 썬헌터-누룽지맛(오리온프리토레이㈜)",30,147,19.5,3,6.3,0,111,0,0,0,2006
228,과자류,"과자,스넥과자, 썬헌터-누룽지맛(오리온프리토레이㈜)",30,44.1,5.85,0.9,1.89,N/A,33.3,N/A,N/A,N/A,2017
229,과자류,"과자,스넥과자, 쓰리디-페페로치노맛(오리온프리토레이㈜)",30,133.5,19.8,1.8,5.1,0,147,0,0,0,2006
230,과자류,"과자,스넥과자, 쓰리디-페페로치노맛(오리온프리토레이㈜)",30,40.05,5.94,0.54,1.53,N/A,44.1,N/A,N/A,N/A,2017
231,과자류,"과자,스넥과자, 아몬드볼(롯데제과)",30,167.1,12.87,2.37,10.83,0,12.9,0,0,0,2006
232,과자류,"과자,스넥과자, 아몬드볼(롯데제과)",30,50.13,3.86,0.71,3.25,N/A,3.87,N/A,N/A,N/A,2017
233,과자류,"과자,스넥과자, 아몬드빼빼로(롯데제과)",30,156.3,13.68,2.88,9.42,0,41.1,0,0,0,2006
234,과자류,"과자,스넥과자, 아몬드빼빼로(롯데제과)",30,46.89,4.1,0.86,2.83,2.42,12.33,N/A,N/A,N/A,2017
235,과자류,"과자,스넥과자, 야금야금(서울식품공업㈜)",30,141.9,22.2,3.42,4.38,0,70.5,0,0,0,2006
