번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
2503,과자류,산딸기향 레몬에이드향 태피,30,16.5,3.3,0,0.3,2.1,25.5,0,0.15,0,2013
2504,과자류,산딸기향 레몬에이드향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0,0.32,0,2017
2505,과자류,산딸기향 태피(엘아이티이),30,16.5,3.3,0,0.3,2.1,25.5,0,0.15,0,2013
2506,과자류,산딸기향 태피(엘아이티이),30,35.36,7.07,0,0.64,4.5,54.64,0,0.32,0,2017
2507,과자류,산카를로 웨이퍼스,30,67.5,7.26,1.23,3.9,3.42,18,0,2.73,0,2013
2508,과자류,산카를로 웨이퍼스,30,45,4.84,0.82,2.6,2.28,12,0,1.82,0,2017
2509,과자류,산코이네노사토,30,41.1,6.51,0.54,1.44,3.6,59.7,0,0.42,0,2013
2510,과자류,산코이네노사토,30,41.1,6.51,0.54,1.44,3.6,59.7,0,0.42,0,2017
2511,과자류,산향완두,30,126.9,10.62,10.35,4.8,2.7,180,0,0,0,2013
2512,과자류,산향완두,30,38.07,3.19,3.11,1.44,0.81,54,0,0,0,2017
2513,과자류,살구 뮤즐리바,30,37.8,4.89,0.87,1.65,1.92,5.1,0,0.45,0,2013
2514,과자류,살구 뮤즐리바,30,37.8,4.89,0.87,1.65,1.92,5.1,0,0.45,0,2017
2515,과자류,상크 데리즈,30,176.1,15.39,2.25,11.7,9.96,29.7,26.7,6.66,0.25,2013
2516,과자류,상크 데리즈,30,52.83,4.62,0.68,3.51,2.99,8.91,8.01,2,0.08,2017
2517,과자류,새시 체리향 태피,30,16.5,3.3,0,0.3,2.1,25.5,0,0.15,0,2013
2518,과자류,새시 체리향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0,0.32,0,2017
2519,과자류,새씨그레이프향 태피,30,16.5,3.3,0,0.3,2.1,25.5,0,0.15,0,2013
2520,과자류,새씨그레이프향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0,0.32,0,2017
2521,과자류,새씨그린애플향 태피,30,16.5,3.3,0,0.3,2.1,25.5,0,0.15,0,2013
2522,과자류,새씨그린애플향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0,0.32,0,2017
2523,과자류,새씨블루라즈베리향 태피,30,16.5,3.3,0,0.3,2.1,25.5,0,0.15,0,2013
2524,과자류,새씨블루라즈베리향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0,0.32,0,2017
2525,과자류,새씨오렌지향 태피,30,16.5,3.3,0,0.3,2.1,25.5,0,0.15,0,2013
2526,과자류,새씨오렌지향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0,0.32,0,2017
2527,과자류,새우 땅콩과자,30,48,4.2,1.8,2.7,1.2,51,0,0.57,0,2013
2528,과자류,새우 땅콩과자,30,48,4.2,1.8,2.7,0.98,51,0,0.57,0,2017
2529,과자류,새우깡(농심),30,146.67,20,2,6.67,1.33,180,0,2.13,0,2015
2530,과자류,새우깡(농심),30,44,6,0.6,2,0.3,54,0,0.64,0,2017
2531,과자류,새우스낵,30,41.7,4.65,2.82,1.33,4.55,114.24,13.36,0.06,0.01,2013
2532,과자류,새우스낵,30,36.79,4.1,2.49,1.17,4.01,100.8,11.79,0.05,0.01,2017
2533,과자류,새우와 와사비 센베이,30,41.1,5.97,0.51,1.35,0.3,123.3,0,0.84,0,2013
2534,과자류,새우와 와사비 센베이,30,41.1,5.97,0.51,1.35,1.3,123.3,0,0.84,0,2017
2535,과자류,새우와 치즈 센베이,30,41.4,6.15,0.48,1.17,0,99,0,0.69,0,2013
2536,과자류,새우와 치즈 센베이,30,41.4,6.15,0.48,1.17,0.9,99,0,0.69,0,2017
2537,과자류,새콤달콤레모네이드(크라운제과),30,126.35,24.93,0.27,2.84,16.29,6.43,0.15,2.77,0,2015
2538,과자류,새콤달콤레모네이드(크라운제과),30,37.91,7.48,0.08,0.85,4.89,1.93,0.05,0.83,0,2017
2539,과자류,새콤달콤복숭아(크라운제과),100,414.56,82.28,0.81,9.4,54.34,40,23.53,9.3,0.01,2015
2540,과자류,새콤달콤복숭아(크라운제과),30,37.31,7.41,0.07,0.85,4.89,3.6,2.12,0.84,0,2017
2541,과자류,새콤달콤파인애플(크라운제과),100,414.56,82.28,0.81,9.4,54.34,40,23.53,9.3,0.01,2015
2542,과자류,새콤달콤파인애플(크라운제과),30,37.31,7.41,0.07,0.85,4.89,3.6,2.12,0.84,0,2017
2543,과자류,새콤달콤포도(크라운제과),100,414.56,82.28,0.81,9.4,54.34,40,23.53,9.3,0.01,2015
